compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_37deg_1,exp2_37deg_2,exp2_37deg_3,exp2_37deg_4,exp4_22deg_1,exp4_22deg_2,exp4_22deg_3,exp4_22deg_4,exp4_37deg_1,exp4_37deg_2,exp4_37deg_3,exp4_37deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l,exp2_37deg_1_l,exp2_37deg_2_l,exp2_37deg_3_l,exp2_37deg_4_l,exp4_22deg_1_l,exp4_22deg_2_l,exp4_22deg_3_l,exp4_22deg_4_l,exp4_37deg_1_l,exp4_37deg_2_l,exp4_37deg_3_l,exp4_37deg_4_l,sum_exp2_22deg_1,sum_exp2_22deg_2,sum_exp2_22deg_3,sum_exp2_22deg_4,sum_exp2_37deg_1,sum_exp2_37deg_2,sum_exp2_37deg_3,sum_exp2_37deg_4,sum_exp4_22deg_1,sum_exp4_22deg_2,sum_exp4_22deg_3,sum_exp4_22deg_4,sum_exp4_37deg_1,sum_exp4_37deg_2,sum_exp4_37deg_3,sum_exp4_37deg_4,mean_sum_exp2_22deg,sd_sum_exp2_22deg,mean_sum_exp2_37deg,sd_sum_exp2_37deg,mean_sum_exp4_22deg,sd_sum_exp4_22deg,mean_sum_exp4_37deg,sd_sum_exp4_37deg,t_stat_exp2,p_val_exp2,p_val_adj_exp2,t_stat_exp4,p_val_exp4,p_val_adj_exp4,t_stat_22deg,p_val_22deg,p_val_adj_22deg,t_stat_37deg,p_val_37deg,p_val_adj_37deg,log2_fc_exp2,log2_fc_exp4,skew_exp2_22deg,skew_exp2_37deg,skew_exp4_22deg,skew_exp4_37deg
Cer_d18:0_16:1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31022212,0.40477213,0.4103441,0.54144704,0.29510233,0.2682668,0.1413543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.423114,-13.423114,-13.423114,-13.423114,-13.246105,-13.246105,-13.246105,-13.246105,-15.4560175,-9.507844,-9.241808,-9.228136,-8.852873,-9.459796,-9.555136,-10.195848,-13.423114,0.0,-13.246105,1.0662403e-06,-10.858452,2.656747,-9.515913,0.47608352,,,,-0.861537,0.44880337,0.5247547,,,,,,,0.17700863,1.3425388,,,-1.1486619,-0.05268167
Cer_d18:1_16:0,0.011683321,0.016081264,0.12543504,0.027236834,0.0,0.0,0.0,0.104916476,2.1618073,0.26881236,0.10447069,0.6538316,0.24069953,0.641243,1.8673245,3.6625516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.7540655,-10.434573,-8.38044,-9.907658,-13.246105,-13.246105,-13.246105,-8.382054,-7.5664325,-9.651119,-10.596226,-8.762282,-9.6635685,-8.683709,-7.614856,-6.9412026,-9.8691845,0.91111463,-12.030092,2.106196,-9.144015,1.1180964,-8.225835,1.0368586,1.6309798,0.17675142,0.21731731,-1.0429348,0.3373833,0.4273522,-0.87084365,0.41862085,0.4658845,-2.80679,0.043797996,0.07195385,-2.1609077,0.91818047,0.8018609,1.1547002,0.1410939,-0.16143835
Cer_d18:0_16:0,1.3607081,1.3444518,1.7357992,1.3415096,2.9556875,3.7496326,3.815411,3.6209788,13.400314,12.987881,11.77746,12.713986,16.279226,20.486597,15.527933,17.393597,1.2098746,1.1776853,1.4385997,1.0762423,2.6779442,4.2637267,3.167761,3.4225924,5.725892,5.958604,5.2447534,5.2704453,32.88751,44.1813,35.490192,41.49726,-5.36034,-5.379366,-5.1493545,-5.4216347,-4.39871,-4.046354,-4.183961,-4.1753488,-5.3863177,-5.3957586,-5.502858,-5.4478707,-4.3441453,-4.0700974,-4.3071814,-4.1636767,-5.327674,0.10531571,-4.201093,0.12644453,-5.4332013,0.04654915,-4.2212753,0.110282846,-11.857733,2.7331393e-05,0.0007667894,-17.53585,5.8217316e-05,0.00063207373,1.5873884,0.18540257,0.23444113,0.20834564,0.84197515,0.893789,1.1265807,1.211926,0.99898356,-0.49343652,-0.46000347,0.2157017
Cer_t18:1_16:0,0.029185582,0.027262243,0.02842734,0.020617263,0.007485662,0.01103109,0.008913142,0.0066117337,0.26630357,0.38631988,0.34301686,0.37820852,0.13047175,0.19121388,0.17452006,0.13453688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.838553,-9.906725,-9.864877,-10.186099,-11.02223,-10.634501,-10.8476925,-11.146374,-9.660496,-9.288466,-9.407352,-9.309687,-10.275961,-9.893725,-9.985078,-10.245279,-9.949063,0.13899487,-10.9127,0.1924972,-9.4165,0.14783376,-10.10001,0.1641833,7.0296144,0.0006226111,0.0052534086,5.358542,0.0017909302,0.009074046,-4.545882,0.003946032,0.011344842,-5.563614,0.0015492178,0.0059386683,-0.9636364,-0.6835098,-1.0516366,0.27100036,-0.86723983,0.10073977
Cer_t18:0_16:0,3.1992612,2.6010988,3.0060158,2.3438885,0.8688362,1.0642847,1.0296246,0.89785856,25.668386,25.529001,27.119492,25.04398,9.340308,10.213567,9.59224,10.459779,1.6988989,1.4457282,1.6074189,1.2201649,0.51847094,0.8010484,0.60195595,0.6226837,10.840034,11.408771,12.210812,10.112965,12.145008,12.006661,12.810125,14.41479,-4.715613,-4.9065394,-4.7755,-5.033574,-5.8000994,-5.5040245,-5.6379147,-5.708397,-4.7398343,-4.7281423,-4.665382,-4.777555,-5.171993,-5.1383595,-5.130196,-5.0255165,-4.857806,0.12274217,-5.662609,0.10811913,-4.7277284,0.040362414,-5.116516,0.054824416,8.5220585,0.00015565549,0.0019456936,9.891355,0.00010261879,0.0009748785,-1.7437081,0.16317673,0.21652296,-7.8025327,0.0009316776,0.0047302423,-0.8048029,-0.38878775,-0.28572035,0.2587778,0.4443259,0.86451256
Cer_d18:1_18:0,0.01083777,0.02728124,0.2007795,0.04291632,0.00921571,0.004701387,0.014608125,0.19414428,4.6484594,0.49385008,0.22120136,1.3728967,0.40244773,1.3887448,4.0903244,7.3883414,0.0,0.00523182,0.0034538002,0.0054986645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04418805,0.0,0.10593323,0.044492394,-10.829191,-9.730586,-7.892965,-9.332418,-10.81431,-11.487362,-10.3536415,-7.766618,-6.8008413,-9.0429,-9.846059,-8.020454,-9.045375,-7.910962,-6.8051696,-6.233455,-9.44629,1.0510739,-10.105482,1.4092461,-8.427564,1.1404748,-7.4987407,1.0774962,0.64944446,0.54197955,0.6066935,-1.0253631,0.34486318,0.4296656,-1.1376822,0.2989093,0.3495719,-2.5451424,0.046426754,0.07449874,-0.6591921,0.928823,0.23288992,0.87396955,0.2165576,-0.28186598
Cer_t18:1_20:0,0.0,0.0031506654,0.009398366,0.009429979,0.0,0.003931247,0.0051897555,0.0044634687,0.10987384,0.071798146,0.0,0.04883525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.423114,-12.064614,-10.971692,-10.968334,-13.246105,-11.666263,-11.388533,-11.539293,-10.545799,-10.971273,-15.4560175,-11.35668,-15.358004,-15.358004,-15.358004,-15.358004,-11.856938,1.0086269,-11.960049,0.7489855,-12.082443,1.9687375,-15.358004,0.0,0.14215656,0.89198625,0.92915237,,,,0.17657028,0.86755687,0.8934541,,,,-0.10311031,-3.2755604,-0.5981961,-1.0951296,-1.0815539,
Cer_t18:0_20:0,0.27294248,0.13162652,0.20414533,0.127182,0.16406772,0.19820264,0.271446,0.24663189,1.4939617,1.3439884,1.5737764,1.5136684,1.8876976,1.8616309,2.256106,1.9744505,0.040378932,0.022222852,0.044863068,0.025387269,0.12262767,0.15549526,0.17565066,0.18123974,0.0,0.100418516,0.15794203,0.2017455,3.079759,2.5206904,3.8053145,3.8618243,-7.4649982,-8.176254,-7.6947412,-8.184609,-7.376799,-7.166776,-6.9324446,-6.976396,-7.9359455,-7.9696784,-7.788263,-7.797723,-6.6364546,-6.761784,-6.4374185,-6.47527,-7.880151,0.31108707,-7.1131043,0.1758854,-7.872903,0.080863856,-6.5777316,0.12991333,-3.7176492,0.015135907,0.03547478,-14.659778,2.5853582e-05,0.0003761298,-0.0390566,0.97102576,0.97102576,-4.2407556,0.006545779,0.016130669,0.76704645,1.2951713,0.19716196,-0.46126795,-0.05939793,-0.29635832
Cer_t18:1_22:0,0.0121855885,0.015243898,0.007958685,0.01960559,0.0135143455,0.008490309,0.01343859,0.003892999,0.24219745,0.32940656,0.2969378,0.24742936,0.07829405,0.122879624,0.08305328,0.14316255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.711974,-10.488049,-11.137964,-10.236413,-10.431468,-10.896294,-10.437089,-11.67604,-9.755379,-9.44784,-9.55161,-9.734007,-10.786646,-10.335913,-10.727635,-10.183137,-10.6436,0.33131126,-10.860223,0.5073784,-9.62221,0.12808377,-10.508332,0.25545686,0.6191738,0.5620916,0.6109691,5.3708134,0.0043552895,0.014391392,-4.980468,0.008234534,0.01893943,-1.0729384,0.33824372,0.4322003,-0.21662235,-0.8861227,-0.3427812,-0.74348295,0.22541505,0.1111375
Cer_t18:0_22:0 ,1.6895266,0.9585867,1.4390713,1.0154719,1.3564862,1.3666853,1.4378694,1.3720968,7.9841647,7.0412903,8.476839,8.448306,9.131336,10.857817,10.1467285,10.407598,0.52774626,0.30510914,0.46623248,0.31320232,0.9214846,1.0437219,0.9713326,0.99673074,2.076262,2.0376983,1.9661688,2.1386573,12.173728,13.937342,13.03501,16.748508,-5.508195,-6.070432,-5.6598315,-6.020291,-5.304179,-5.2476683,-5.2481685,-5.265069,-6.0287676,-6.1314144,-5.9914446,-5.9777536,-5.180418,-5.028714,-5.095998,-4.937761,-5.8146873,0.23748483,-5.2662716,0.02297955,-6.032345,0.060167696,-5.060723,0.08904418,-3.981172,0.027397752,0.047786776,-15.659772,1.2795657e-05,0.0002431175,1.5388254,0.21127398,0.26031974,-3.8714104,0.024340477,0.04306392,0.54841566,0.971622,0.13226263,-0.867353,-0.8507052,0.0471582
